Players
Adelardo Rodríguez
Enrique Collar
Tomás Reñones
Carlos Aguilera
Isacio Calleja
Juan Carlos Arteche
Gabi
Koke
Fernando Torres
Diego Godín
Luis Aragonés
Alberto Fernández
Miguel Ángel Ruiz
Feliciano Rivilla
Quique Ramos
Juanfran
Filipe Luís
Adrián Escudero
Rubio
Raúl García
José Eulogio Gárate
Toni Muñoz
José Ufarte
Juan Vizcaíno
Luis Perea
Roberto Simón Marina
Abel Resino
Santiago Denia
Jorge Griffa
Roberto Solozábal
Martinez Jayo
Eusebio Bejarano
Kiko
Javier Irureta
Manolo
Antonio López
José Luis Capón
Jesús Glaría
Alfonso Aparicio
Marcelino
Antoine Griezmann
Jesús Landaburu
Eugenio Leal
Julio Prieto
Miguel
Saúl
José Molina
Melo
Edgardo Madinabeytia
Francisco Campos
Jorge Alberto Mendonça
Sergio Agüero
Tiago
Germán Gomez Gomez
Ignacio Salcedo
Joaquin Peiro
José Juncosa
Miguel Reina
Ruben Ayala
Paulo Futre
Alberto Callejo
Jan Oblak
Ramon Gabilondo
Juanma
Ruben Cano
Pablo Ibáñez
Donato
Diego Forlán
Francisco Bermejo
José Hernández
José Luis Caminero
Mario Suárez
Roberto Fresnedoso
Delfí Geli
Diego Costa
José Luis Riera
Arda Turan
Ángel Correa
Julio Iglesias
Miranda
Juan Vázquez
Fernando Correa
Manuel Pazos
Rodri
Luis Pereira
Mario Cabrera
Ramiro Rodrigues
Simão
Diego Simeone
Ángel Mejías
Leo Franco
Balbino García
Thibaut Courtois
Alfonso Silva
José Giménez
Domingo Benegas
Patxi Ferreira
Juan José Mencia
Clemente Villaverde
Radek Bejbl
José Antonio Reyes
Ramon Cobo
Maxi Rodríguez
José Mari
Marcos Alonso
Juanito
Francisco Arencibia Spanish article
Tinte
Milinko Pantić
Paulo Assunção
Thomas Partey
Hugo Sánchez
Tomáš Ujfaluši
Stefan Savić
Larbi Ben Barek
Álvaro Domínguez
Bernd Schuster
Robi
Jose Mesa Suarez
Iselín Ovejero
Lucas Hernandez
Yannick Carrasco
Ramón Heredia
Juan Valera
Francisco Machín Domínguez
Miroslav Votava
Henry Carlsson
Leivinha
Radamel Falcao
José Cobo
Vavá
José Cardona
David Villa
Luboslav Penev
Christian Vieri
